Designator,Mid X,Mid Y,Layer,Rotation
C229,36.524901mm,58.875002mm,Bottom,90.0
C224,71.325001mm,58.275002mm,Top,270.0
C223,71.325001mm,54.025002mm,Top,270.0
C222,71.325001mm,56.325002mm,Bottom,270.0
C221,36.425001mm,56.975001999999996mm,Top,270.0
C220,53.824901000000004mm,52.775002mm,Bottom,0.0
C230,41.225001000000006mm,54.975001999999996mm,Bottom,90.0
C231,40.024901mm,54.975001999999996mm,Bottom,90.0
C232,38.825001mm,54.975001999999996mm,Bottom,90.0
C225,46.024901mm,54.975001999999996mm,Bottom,90.0
C226,44.825001mm,54.975001999999996mm,Bottom,90.0
C227,43.62490100000001mm,54.975001999999996mm,Bottom,90.0
C228,42.425001mm,54.975001999999996mm,Bottom,90.0
C216,50.825001mm,54.975001999999996mm,Bottom,90.0
C217,49.62490100000001mm,54.975001999999996mm,Bottom,90.0
C218,48.425001mm,54.975001999999996mm,Bottom,90.0
C219,47.224901mm,54.975001999999996mm,Bottom,90.0
C212,55.62490100000001mm,54.975001999999996mm,Bottom,90.0
C213,54.425001mm,54.975001999999996mm,Bottom,90.0
C214,53.224901mm,54.975001999999996mm,Bottom,90.0
C215,52.025001mm,54.975001999999996mm,Bottom,90.0
C204,65.225001mm,54.975001999999996mm,Bottom,90.0
C205,64.024901mm,54.975001999999996mm,Bottom,90.0
C206,62.825001mm,54.975001999999996mm,Bottom,90.0
C207,61.624901mm,54.975001999999996mm,Bottom,90.0
C200,70.024901mm,54.975001999999996mm,Bottom,90.0
C201,68.825001mm,54.975001999999996mm,Bottom,90.0
C202,67.62490100000001mm,54.975001999999996mm,Bottom,90.0
C203,66.42500100000001mm,54.975001999999996mm,Bottom,90.0
C195,58.374901mm,46.975002mm,Bottom,90.0
C190,43.875001000000005mm,46.675002mm,Bottom,180.0
C185,65.475001mm,46.975002mm,Bottom,90.0
C180,49.675001mm,46.675002mm,Bottom,180.0
C175,55.474901mm,46.675002mm,Bottom,180.0
C170,38.074901000000004mm,46.675002mm,Bottom,180.0
C142,31.725001000000006mm,58.875002mm,Bottom,90.0
C141,32.925001mm,58.875002mm,Bottom,90.0
C139,34.124901mm,58.875002mm,Bottom,270.0
C135,35.325001mm,58.875002mm,Bottom,90.0
C211,56.825001mm,54.975001999999996mm,Bottom,90.0
C210,58.024901mm,54.975001999999996mm,Bottom,90.0
C209,59.225001000000006mm,54.975001999999996mm,Bottom,90.0
C208,60.424901000000006mm,54.975001999999996mm,Bottom,90.0
C147,57.024901mm,35.575002mm,Bottom,270.0
F101,68.075001mm,22.225001999999996mm,Bottom,0.0
R134,58.024901mm,29.650002mm,Bottom,180.0
R133,58.024901mm,28.475001999999996mm,Bottom,180.0
C133,58.024901mm,30.825001999999998mm,Bottom,0.0
R131,50.850001000000006mm,43.550002mm,Bottom,0.0
U101,68.325001mm,25.775002mm,Top,90.0
R130,60.224901mm,37.875001999999995mm,Bottom,270.0
R129,60.224901mm,41.975002mm,Bottom,270.0
Y101,54.925001mm,27.975001999999996mm,Bottom,90.0
C116,54.625001000000005mm,29.875002mm,Bottom,0.0
C115,54.425001mm,25.975001999999996mm,Bottom,0.0
C124,56.525001mm,40.025002mm,Bottom,0.0
R121,57.024901mm,33.675002mm,Bottom,90.0
R106,49.649901mm,22.800002mm,Bottom,270.0
J101,60.905001000000006mm,22.590002mm,Top,0.0
